 num     #instances         #bytes  class name (module)
 115:             6            192  java.util.ImmutableCollections$MapN (java.base@19.0.1)
 116:            12            192  java.util.concurrent.locks.ReentrantLock (java.base@19.0.1)
 117:             4            192  jdk.internal.org.objectweb.asm.Frame (java.base@19.0.1)
 118:             2            176  java.lang.reflect.Method (java.base@19.0.1)
 119:             4            168  [Ljava.lang.invoke.MethodType; (java.base@19.0.1)
 120:             3            168  java.nio.HeapByteBuffer (java.base@19.0.1)
 121:             4            160  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@19.0.1)
 122:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@19.0.1)
 123:             5            160  java.util.Hashtable$Entry (java.base@19.0.1)
 124:             5            160  java.util.regex.Pattern$Branch (java.base@19.0.1)
 125:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@19.0.1)
 126:             6            144  java.lang.Thread$State (java.base@19.0.1)
 127:             3            144  java.lang.ThreadGroup (java.base@19.0.1)
 128:             2            144  java.lang.reflect.Constructor (java.base@19.0.1)
 129:             3            144  java.util.Hashtable (java.base@19.0.1)
 130:             6            144  java.util.regex.Pattern$GroupHead (java.base@19.0.1)
 131:             6            144  java.util.regex.Pattern$GroupTail (java.base@19.0.1)
 132:             9            144  jdk.internal.misc.InternalLock (java.base@19.0.1)
 133:             3            144  jdk.internal.org.objectweb.asm.AnnotationWriter (java.base@19.0.1)
 134:             2            128  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic; (java.base@19.0.1)
 135:             3            128  [Ljava.util.Hashtable$Entry; (java.base@19.0.1)
 136:             2            128  java.lang.Class$ReflectionData (java.base@19.0.1)
 137:             4            128  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@19.0.1)
 138:             4            128  java.lang.invoke.SimpleMethodHandle (java.base@19.0.1)
 139:             4            128  jdk.internal.loader.NativeLibraries (java.base@19.0.1)
 140:             2            128  sun.nio.cs.SingleByte$Encoder (java.base@19.0.1)
 141:             5            120  [Ljava.util.regex.Pattern$Node; (java.base@19.0.1)
 142:             5            120  java.lang.invoke.Invokers (java.base@19.0.1)
 143:             5            120  java.lang.module.ModuleDescriptor$Opens (java.base@19.0.1)
 144:             5            120  java.util.regex.Pattern$Ques (java.base@19.0.1)
 145:             2            112  java.io.FileCleanable (java.base@19.0.1)
 146:             7            112  java.lang.Byte (java.base@19.0.1)
 147:             1            112  java.lang.ref.Finalizer$FinalizerThread (java.base@19.0.1)
 148:             1            112  java.lang.ref.Reference$ReferenceHandler (java.base@19.0.1)
 149:             1            112  jdk.internal.misc.InnocuousThread (java.base@19.0.1)
 150:             2            112  sun.nio.cs.StreamEncoder (java.base@19.0.1)
 151:             1            104  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@19.0.1)
 152:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@19.0.1)
 153:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@19.0.1)
 154:             1             96  [Lsun.util.locale.BaseLocale; (java.base@19.0.1)
 155:             3             96  java.io.FileInputStream (java.base@19.0.1)
 156:             2             96  java.io.PrintStream (java.base@19.0.1)
 157:             2             96  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@19.0.1)
 158:             4             96  java.lang.invoke.ConstantCallSite (java.base@19.0.1)
 159:             4             96  java.lang.invoke.InfoFromMemberName (java.base@19.0.1)
 160:             4             96  java.lang.module.ModuleDescriptor$Modifier (java.base@19.0.1)
 161:             4             96  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@19.0.1)
 162:             3             96  java.lang.ref.ReferenceQueue (java.base@19.0.1)
 163:             3             96  java.util.ArrayList$Itr (java.base@19.0.1)
 164:             3             96  java.util.concurrent.ConcurrentHashMap$ReservationNode (java.base@19.0.1)
 165:             4             96  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@19.0.1)
 166:             4             96  java.util.regex.Pattern$Qtype (java.base@19.0.1)
 167:             1             88  java.util.regex.Pattern (java.base@19.0.1)
 168:             2             80  [Ljava.lang.OutOfMemoryError; (java.base@19.0.1)
 169:             2             80  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@19.0.1)
 170:             5             80  [Ljava.security.Principal; (java.base@19.0.1)
 171:             1             80  [Ljava.util.WeakHashMap$Entry; (java.base@19.0.1)
 172:             2             80  [[Ljava.lang.invoke.MethodHandle; (java.base@19.0.1)
 173:             2             80  java.io.BufferedOutputStream (java.base@19.0.1)
 174:             2             80  java.io.BufferedWriter (java.base@19.0.1)
 175:             2             80  java.lang.ModuleLayer (java.base@19.0.1)
 176:             2             80  java.lang.module.Configuration (java.base@19.0.1)
 177:             2             80  java.lang.ref.NativeReferenceQueue (java.base@19.0.1)
 178:             5             80  java.security.ProtectionDomain$Key (java.base@19.0.1)
 179:             2             80  java.util.Locale$Category (java.base@19.0.1)
 180:             5             80  java.util.regex.Pattern$BranchConn (java.base@19.0.1)
 181:             3             72  [Ljava.security.ProtectionDomain; (java.base@19.0.1)
 182:             3             72  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@19.0.1)
 183:             2             64  [Ljava.nio.charset.CoderResult; (java.base@19.0.1)
 184:             2             64  java.io.FileOutputStream (java.base@19.0.1)
 185:             1             64  java.lang.invoke.InvokerBytecodeGenerator (java.base@19.0.1)
 186:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@19.0.1)
 187:             2             64  java.lang.ref.WeakReference (java.base@19.0.1)
 188:             2             64  java.util.HashMap$KeyIterator (java.base@19.0.1)
 189:             2             64  java.util.HexFormat (java.base@19.0.1)
 190:             2             64  jdk.internal.loader.URLClassPath$FileLoader$1 (java.base@19.0.1)
 191:             1             64  jdk.internal.org.objectweb.asm.FieldWriter (java.base@19.0.1)
 192:             1             56  [Ljava.util.regex.Pattern$GroupHead; (java.base@19.0.1)
 193:             3             56  [Ljdk.internal.org.objectweb.asm.Type; (java.base@19.0.1)
 194:             1             56  java.lang.invoke.BoundMethodHandle$Specializer (java.base@19.0.1)
 195:             1             56  java.util.Properties (java.base@19.0.1)
 196:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@19.0.1)
 197:             2             48  java.io.File$PathStatus (java.base@19.0.1)
 198:             2             48  java.io.OutputStreamWriter (java.base@19.0.1)
 199:             1             48  java.lang.NullPointerException (java.base@19.0.1)
 200:             1             48  java.lang.invoke.BoundMethodHandle$Specializer$Factory (java.base@19.0.1)
 201:             1             48  java.lang.invoke.DirectMethodHandle$Accessor (java.base@19.0.1)
 202:             1             48  java.lang.invoke.LambdaFormBuffer (java.base@19.0.1)
 203:             1             48  java.lang.invoke.LambdaFormEditor$Transform (java.base@19.0.1)
 204:             2             48  java.lang.invoke.MethodHandles$Lookup$ClassOption (java.base@19.0.1)
 205:             3             48  java.nio.charset.CodingErrorAction (java.base@19.0.1)
 206:             2             48  java.security.SecureClassLoader$1 (java.base@19.0.1)
 207:             2             48  java.util.ImmutableCollections$MapN$MapNIterator (java.base@19.0.1)
 208:             1             48  java.util.WeakHashMap (java.base@19.0.1)
 209:             3             48  java.util.regex.Pattern$$Lambda$18/0x800000028 (java.base@19.0.1)
